Service Name,Service Alternate Name,Category,Organization,Main Phone Number,Alternative Phone Number,Fax Number,Street Address,City,State,ZIP Code,URL,Description
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Southwest Missouri Area Agency on Aging,417-862-0762,,,1735 S. Fort Avenue,Springfield,MO,65807,,"Lunch served Monday-Friday                      11:30 am to 12:30 pm. Eligible clients, 60 years and older, receive a meal for the recommended donation of $3.50 per meal. For guests under 60, the meal charge is $7.00.
"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Vernon County Senior Center,417-667-5847,,,301 N. Main St,Nevada,MO,64772,,"Lunch served Monday-Friday                     11:30 am to 12:30 pm. Eligible clients, 60 years and older, receive a meal for the recommended donation of $3.50 per meal. For guests under 60, the meal charge is $7.00.
"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Carthage Crisis Center,417-358-3533 ,,,100 S. Main St,Carthage,MO,64836,,"Clothing - Treasures on Main.   Open to anyone who has emergency conditions who is hungry, needs food or lodging.  There are no income guidelines.  Based on individual circumstances.  This center does have faith based requirements."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Carthage Crosslines Ministries,417-358-1577,,,600 E. 6th Street,Carthage,MO,64836,,"Emergency food , utility assistance, rent, prescriptions and other assistance.   Need proof of income, SSC, Driver's License and receipts for bills that have been paid recently."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Catholic Charities,417-624-3790,,,403 E. 4th St,Joplin,MO,64801,,Provides assistance with SNAP / Food Stamp applications     Mon - Fri  8am - 5 pm
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Christ's Church of Oronogo,417-673-3945,,,22145 Kafir Rd,Oronogo,MO,64855,,Food Pantry & Benevolence Funds / Church Services
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Church of Christ,417-781-2326,,,1819 E. 26th St,Joplin,MO,64804,,Food Pantry
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,College Heights Christian Church,417-624-6915,,,4311 E. Newman Rd,Joplin,MO,64801,,Benevolence Fund / Church Services
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Cornerstone Church ,417-206-7577,,,401 Forest St,Joplin,MO,64801,,"Meet income guideline (very broad), can use pantry only 1 time per month, unless you have a crisis situation.  They try to furnish each person in home with food for 3 meals per day for 7 days."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Crosslines Ministries of SWMO / Joplin,417-782-8384,,,320 S. School,Joplin,MO,64801,,"Emergency food pantry, rent and utility assistance, Hygiene, Blankets for homeless, Diapers, Baby items, Mother & Daughter programs, Social Services."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Crosslines Ministries of Carthage,417-358-1577,,,600 E. 6th Street,Carthage,MO,64836,,"Emergency food pantry, rent and utility assistance, Hygiene, Blankets for homeless, Diapers, Baby items, Mother & Daughter programs, Social Services."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Crosslines Of McDonald County,417-845-1800,,,925 N. Business Hwy 7,Anderson,MO,64831,,"Emergency food, and sometimes will provide free clothing to people whose homes have burnt. Mailing address: PO Box 473"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Crosslines Of Neosho,417-451-0157,,,308 E. Spring Street,Neosho,MO,64850,,"Clothing once every year, some kitchen and bedding supplies one time only if disaster (must have proof), layettes 1 per child 0-3 months), and monthly hygiene pack with includes diapers if needed once a month."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Department of Family Services: All counties,855-373-4636,,,,,,,,
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Department of Family Services: Barton County,417-682-3531,,,501 W. 13th St,Lamar,MO,64759,,"MoHealth.net, SNAP - Supplemental Nutritional Assistance Program"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Department of Family Services: Jasper County,417-629-3050,,,601 Commercial,Joplin,MO,64801,,"MoHealth.net, SNAP - Supplemental Nutritional Assistance Program"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Department of Family Services: McDonald County,417-845-6951,,,929 N. 71 Business Hwy,Anderson,MO,64831,,"MoHealth.net, SNAP - Supplemental Nutritional Assistance Program"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Department of Family Services: Newton County,417-455-5100,,,201 N. Washington St,Neosho,MO,64850,,"MoHealth.net, SNAP - Supplemental Nutritional Assistance Program"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Eagle Lodge,417-623-0533,,,1321 S. Main St,Joplin,MO,64801,,Winter Coats for low income children
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Family Services of Joplin (Jasper County),417-629-3050,,,601 Commercial St,Joplin,MO,64801,,"Food Stamps, TANF    (emergency financial support)  Medicaid"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,"Feeding, Inc.",417-359-8800,,,210 River Street,Carthage MO 64870,,,,Prepared Meals /Open Wed 3:00
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Fellowship Baptist Church,417-781-5174,,,2827 E. 32nd Street,Joplin,MO,64804,,General
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,First Baptist Church,417-845-3565,,,1 Friendship Lane,Anderson,MO,64831,,Non-food items and food pantry for customers moving through McDonald county
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,First Christian Church,417-649-7200,,,103 Hodge Dr,Carl Junction,MO,64834,,Food Pantry
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Frisco Church - Samaritan Basket,417-673-3672 ext. 103,,,908 W Daugherty St,Webb City,MO,64870,,(Reserve household basket Friday before; baskets distributed every other Monday)
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Heartland Share Food- Joplin,417-623-6588,,,812 S Pearl Ave,Joplin,MO,64801,https://saintpetertheapostlejoplin.com/,"Located at St. Peters Catholic Church. Receives $28.00 - $30.00 of food for $17.00 (cash or food stamps) = 2 hours of community service. Anyone can participate, but must do 2 hours community service unpaid. 417-529-1413 (Kim Vaughn)  417-623-8643    (St. Peters)   417-782-1999 (Mary Kaiser)"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Heartland Share Food - Carl Junction,(417) 649-6303 ,(417) 626-2764,,103 Hodge Dr,Carl Junction,MO,64834,https://cccj.church/,"Located at Carl Junction Christian Church. Receives $28.00 - $30.00 of food for $17.00 (cash or food stamps) = 2 hours of community service. Anyone can participate, but must do 2 hours community service unpaid. Barb Eppard (Evenings) (417) 649-6303                    Marie Hanson                           (417) 626-2764"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Heartland Share Food - Carthage ,(417) 358-5926,(417) 358-1631 ,,706 Orchard Street,Carthage,MO,64836,,"Receives $28.00 - $30.00 of food for $17.00 (cash or food stamps) = 2 hours of community service. Anyone can participate, but must do 2 hours community service unpaid. Mailing address: PO Box 793"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Heartland Share Food - Neosho,(417)451-5749 ext. 106, (417) 451-1660,,P.O. 866,Neosho,MO,64850,,"Receives $28.00 - $30.00 of food for $17.00 (cash or food stamps) = 2 hours of community service. Anyone can participate, but must do 2 hours community service unpaid."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Help Center - Neosho,417-451-0884,,,1321 N. Business Hwy 49,Neosho,MO,64850,,Food pantry for those that qualify who can receive food 1 time a month with hardship boxes 4 time a year.  (Gas vouchers for emergencies in the amount of $10.00 - 1 time a year.  Clothes for families burned out of their homes.
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Helping Hand Ministries,417-649-2002,417-649-6866,,1304 E Pennell St,Carl Junction,MO,64834,,Carl Junction Only - Must call before going.                                                        Hours:   Wed & Sat 10 - 2
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Hope Chest Thrift Store,417-626-2929,,,215 E 7th St,Joplin,MO,64801,,Can provide clothing for low income or disaster affected families. Must provide family w/a letter referring them to receive items for free.
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Hope Kitchen Community Ministry,417-658-9208,,,219 E. Main St,Neosho,MO,64850,,Provides Free meals 5-8pm Tuesdays  & Thursdays  & Saturday
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Joplin Area Ministerial Alliance,417-439-1206,,,P. O.  Box 1136,Joplin,Missouri,64802,,"The Joplin Area Ministerial Alliance is a fellowship of Christian ministry leaders, working toward a unified effort, to represent God and facilitate outreach to the greater Joplin community. That outreach is defined by the Upward (worship), Inward (fellowship), and Outward (evangelism) aspects of the Great Commission."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Lamar Good Samaritan        (Acting as Salvation  Army - Lamar / Barton),417-682-5396,,,1301 Parry St,Lamar,MO,64759,,Good Samaritan is acting agent for Salvation Army.  Using discretion as to amount per household as circumstance applies.   Emergency food pantry.
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Liberal Ministerial Alliance - Barton,417-843-4755,,,1072 NW 82nd Rd,Liberal,MO,64762,,Financial help for qualifying clients on rent or utility assistance.  Food pantry.  Residents of Liberal in need.
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Life Church of Carthage,417-674-1315,,,2965 S Chapel Rd,Carthage,MO,64836,,Provides hot meals                                         Louie Griffey - Free Clothing
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Mission Joplin (Forest Park Baptist Church Outreach),417-623-0980 ,,,725 Highview,Joplin,MO,64801,,Open T/TH 10-2 pm -                                    (Food & Clothing)   Or                                 Open T/TH 1-3 (Food)                      Open 1st Mon 9 - 1 (Clothing) 
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,McDonald Cty Volunteer Clothes Closet (behind Casey's),417-845-3328,,,Mill St,Anderson,MO,64831,,"Affordable clothing, household items & furniture if available"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Monark Baptist Church,417-451-4661,,,18472 Linden Drive,Neosho,MO,64850,,"Diapers,  household items, Discount Food store, etc."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,National Hunger Hotline - 1-866-3-HUNGRY,1-866-348-6479,,,,,,,https://www.hungerfreeamerica.org/about/our-work/usda-national-hunger-hotline,Call for resource referral.                    Hours:  Mon - Fri      7am - 10 pm EST
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,New Life Evangelistic Center,417-781-8994,,,831 Moffet,Joplin,MO,64801,,"Limited can food items, clothing."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Noel Ministerial Alliance,417-475-3852,,,Noel and Sulphur Street,Noel,MO,64854,,"Emergency food, gas and also have help with emergency housing utilities."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Neosho Help Center,417-451-0884,,,1321 N Business 49,Neosho,MO,64850,http://www.gospellighthousechurch.org/site/cs/editorial.asp?page=2  ,"Along with the food dispersion, The Help Center also has a store in the front section of the building. Various people from all over donate items they no longer need and those items are sold to also help sponsor the project."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,River Street Food Pantry,417-359-8800,,,210 N River St,Carthage,MO,64836,,Non-Income based Tues. & Thursday only 9am - 3pm.
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Sacred Heart Catholic Church,417-673-2044,,,909 N Madison St,Webb City,MO,64870,,Non Income based                                          Webb City only - Tues. & Thurs.                                                Noon to 2pm - no appointment necessary
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Salvation Army - Carthage,417-358-2262,,,125 E. Fairview St,Carthage,MO,64836,,"(Food only) by appt.                                      Lunch at 11:30, Mon - Fri                 Emergency prescriptions, household items, bus tickets, clothes, lodging, rent, utilities and other assistance as needed."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Salvation Army - Joplin AKA  Salvation Army of Jasper / Newton,417-624-4528,,,320 E. 8th St,Joplin,MO,64801,,"Clothing vouchers given - Call for additional info.   Prayer Counseling, Breakfast Mon - Fri:  8 am - 8:45 and Lunch:  Mon - Sat 12 - 1 pm, Planning Social Services, Birth Certificate and ID assistance, Locating other resources and assistance, job applications and medical forms"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Seneca Food Pantry,417-776-4650,,,1316 Cherokee Ave,Neosho,MO,64865,,"We not only provide listings of pantries, but we also provide information on: food closets, food banks, soup kitchens, congregate meal locations, food boxes, vouchers, etc."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Supplemental Nutritional Assistance Program (SNAP) -  Barry County,1-855-373-4636,,,208 East 8th Street,,,,,"This is the Barry County FSD Office located in Cassville, MO. Most states offer the ability to apply for food assistance program online or in-person at local county offices."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Supplemental Nutritional Assistance Program (SNAP) - Barton County,417-682-3531,,,501 W. 13th St,Lamar,MO,64759,,"MoHealth.net, SNAP - Supplemental Nutritional Assistance Program"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Supplemental Nutritional Assistance Program (SNAP) - Jasper County,417-629-3050,,,601 Commercial,Joplin,MO,64801,,"MoHealth.net, SNAP - Supplemental Nutritional Assistance Program"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Supplemental Nutritional Assistance Program (SNAP) - McDonald County,417-845-6951,,,929 N. 71 Business Hwy,Anderson,MO,64831,,"MoHealth.net, SNAP - Supplemental Nutritional Assistance Program"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Supplemental Nutritional Assistance Program (SNAP) -  Newton County,417-455-5100,,,201 N. Washington St,Neosho,MO,64865,,"MoHealth.net, SNAP - Supplemental Nutritional Assistance Program"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Soul's Harbor Mission,417-623-7927,417-623-4358,,817 & 915 S. Main St,Joplin,MO,64801,,"Meals every day at 7 a.m. & 5:45 p.m    Emergency housing, food baskets, personal items & furniture when available.      Clothing"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Sovereign Grace Baptist Church,417-622-8276,,,1218 E. 32nd St,Joplin,MO,64804,,Clothing & Toiletries
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,St. Peter's Outreach House,417-623-8643 ,,,812 S. Pear,Joplin,MO,64801,,Food Pantry & Clothing
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,St. Peter's Outreach House,417-206-2588,,,807 S. Moffett,Joplin,MO,64801,,"Prepared Meals -                             M,W, F and last 2 Sundays of the month  11:00 to 1:00    "
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,St. Vincent de Paul's,417-625-1085,,,"512 E. 32nd St., Ste. 108,",Joplin,MO,64804,,"Open 9:00 - 11:00 on Thurs,   Open 9:00 - 11:00  the 2nd Sat. of each month."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Trinity Learning Center ,417-451-4559,,,19937 Quapaw Ln,Neosho,MO,64850,,"Give out paper goods:  Toilet Paper, Depends, Diapers, Et. When available.  Open 1st & 3rd Thurs. of the month.  4:00 to 5:00 pm."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Watered Gardens,417-623-6030,,,531 S. Kentucky Ave,Joplin,MO,64801,,Meals daily.                                                   Clothing and shoes.                                    Call for additional info.  For low income families and the Homeless  
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,We Care of the 4 States,417-625-1600,,,6879 Newman Rd,Joplin,MO,64801,wecareofthe4states.org,Tuesdays  & Thursdays Emergency Food - Call to make an appt. first.
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,WIC,417-623-1928,,,321 E. 4th St,Joplin,MO,64801,,Food & Formula assistance for Families w/Children
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Wildwood Baptist Church,417-623-6466,,,4827 E. 20th St,Joplin,MO,64801,,Food Pantry
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Woman to Woman,417-624-2267,,,1730 S. Byers Ave,Joplin,MO,64801,,Can help with professional clothing for women.  Must be referred by employee at Economic Security.
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Aging & Disability Resource Center of SE Kansas,620-431-2980,,,P.O. Box J,Chanute,KS,66720,,Home delivered meals to SEK Counties
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Blessing Exchange,620-856-4200,,,704 Main Street,Galena,KS,66739,,Food Pantry & Clothing Bank                        Tue / Thur 10:00 an - 1:00 pm            Steve Fellers  620-202-1908
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Farmer's Market at City Hall,,,,211 W 7th Street,Galena,KS,66739,,Saturday Mornings - May - Oct
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Farmer's Market at American Bank Parking Lot,,,,810 E. Maple,Columbus,KS,66725,,Saturday Mornings - May - Oct
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,First Presbyterian Church,620-429-3619,620-429-1556,,133 E Pine St,Columbus,KS,66725,,Free Lunches:  June - August
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Food Pantry at United Methodist Church,620-396-8343,,,410 S. Jefferson,Weir,KS,66781,,Food
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Food Panty and Clothing Bank,620-856-5888,,,140 West 10th St,Baxter Springs,KS,66713,,Part of the Ministerial Alliance
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Methodist Church ,620-429-2791,,,320 W Maple St,Columbus,KS,66725,,Food Pantry & Thrift Shop
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Mid-America Food and Food Pantry,620-856-3400,,,614 Ottawa,Baxter Springs,KS,66713,,Food Pantry
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,The Emergency Food Assistance / USDA Commodities. Columbus Christian Center (Nancy Hurd)    ,620-429-2424,,,1001 E. Merle Evans Drive,Columbus,KS,66713,,USDA Commodities
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,The Emergency Food Assistance / USDA Commodities. Trinity Worship Center  (Steve Fellers),620-856-4200,620-202-1908,,225 E. 16th Street,Baxter Springs,KS,66713,,Food Assistance
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Wesley House,620-232-3760,,,411 E. 12th,Pittsburg,KS,66762,www.wesleyhouseumc.org,Emergency and food assistance
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Christian Help Center,918-786-6798,,,1703 E Highway 10,Grove,OK,74344,,This is a Christian mission. We pray with and for the individuals who come to the Center seeking assistance. We realize that they are in need of the day to day basic food items and we strive to meet some of that need. But all of us also need the comfort and provision of our loving Lord. 
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Christian Community Care Center,918-253-6168,,,202 N. 5th St,Jay,OK,74346,,"Food pantry located 11.37 miles from Grove.  Open Tue and Thur 10:00am - 3:00pm.  Provides a food pantry.  Serves Delaware County.  Documentation Required:  Driver's license or other ID, current utility bill that shows physical address of residence and copy of CDIB card, if applicable.  "
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Doc Services,918-542-6671,,,205 B. NE Street,Miami,OK,74354,,"Home delivered meals in Ottawa, Delaware, and Craig Counties.  Some are through donation others are through the Integris Miami Hospital home paid meal program.  They also deliver the Advantage meal program.    "
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Inter-Tribal Council Inc.,918-542-3442,,,114S Eight Tribes Trail,Miami,OK,74354,https://itcfdp.org,Pantry Hours:  Mon - Fri: 8 AM - 12 PM / 1 PM - 4 PM.  Closed Sat & Sun.  Located 20.06 miles from Grove.
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,"Inter Tribal Council, Inc",918-542-4486,,,no address,Miami,OK,74355,,"CDIB Card, Food distribution program (alternate to Food Stamp program) WIC. Also information on tribal roles for the four - state area."
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Ottawa County Nutrition Coalition,918-542-9676,,,33 N. Main,Miami,OK,74354,,"Pantry Hours:  Mon - Fri: 1 PM - 4  PM. Provides a food pantry that serves Ottawa County, OK.  Documentation Required:  Social Security Card or Picture ID.  20.53 miles from Grove"
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Ottawa Tribe Nutrition Center,918-541-1900,,,10 Highway 69A,Miami,OK,74354,,Home delivered meal services to tribal members only.
Food and Clothing - Assistance and / or Pantries,,Food and Clothing - Assistance and / or Pantries,Salvation Army,918-256-2037,,,222 W. Sequoyah,Vinita,OK,74301,,"Pantry Hours:  Mon, Wed & Fri  10 AM - 2 PM.  Serves Craig County.  Documentation Required:  Must bring in photo ID and Social Security for each member of household.  20.92 miles from Grove."
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
